product,test_key,lower_limit,upper_limit
BK41,MDA,-0.3,0.3
BK41,MDB,-0.2,0.4
BK41,MDL,-0.5,0.1
BK41,STR,96,108
BK41,TDA,-0.3,0.3
BK41,TDB,-0.2,0.4
BK41,TDL,-0.7,0.5
BK65,MDA,-0.4,0.4
BK65,MDB,-0.4,0.4
BK65,MDL,-0.4,0.4
BK65,STR,97,103
BK65,TDA,-0.4,0.4
BK65,TDB,-0.4,0.4
BK65,TDL,-0.4,0.4
BK94,MDA,-0.3,0.3
BK94,MDB,-0.3,0.3
BK94,MDL,-0.3,0.3
BK94,STR,95,105
BK94,TDA,-0.6,0.6
BK94,TDB,-0.6,0.6
BK94,TDL,-0.6,0.6
BL27,MDA,-0.4,0.4
BL27,MDB,-0.4,0.4
BL27,MDL,-0.4,0.4
BL27,STR,97,103
BL27,TDA,-0.4,0.4
BL27,TDB,-0.4,0.4
BL27,TDL,-0.4,0.4
BL88,MDA,-0.5,1.5
BL88,MDB,-1.5,0.5
BL88,MDL,-1,1
BL88,STR,97,103
BL88,TDA,-0.4,0.4
BL88,TDB,-0.4,0.4
BL88,TDL,-0.4,0.4
BL91,MDA,-1.5,1.5
BL91,MDB,-1.5,1.5
BL91,MDL,-1.5,1.5
BL91,STR,97,103
BL91,TDA,-0.3,0.3
BL91,TDB,-0.4,0.4
BL91,TDL,-0.4,0.4
YL1,MDA,-0.5,0.5
YL1,MDB,-0.5,0.5
YL1,MDL,-0.5,0.5
YL1,STR,97,103
YL1,TDA,-0.5,0.5
YL1,TDB,-0.5,0.5
YL1,TDL,-0.5,0.5
